# time	position	dot_position	ddot_position	desired_position	error	fan_pwm	fan_speed	dot_fan_speed	ddot_fan_speed	P	I	D
173.370	0.010	0.000	0.000	0.000	0.000	0.000	1900.000	0.000	65913.219	0.000	0.000	0.000
173.400	0.010	0.000	0.000	0.000	0.000	0.000	1900.000	0.000	-65913.219	0.000	0.000	0.000
173.430	0.010	-0.166	-11.074	0.000	0.000	0.000	1900.000	0.000	68006.230	0.000	0.000	0.000
173.460	0.000	0.000	22.148	0.000	0.000	0.000	1900.000	0.000	-70099.240	0.000	0.000	0.000
173.490	0.010	0.166	-11.074	0.000	0.000	0.000	1900.000	0.000	68006.230	0.000	0.000	0.000
173.520	0.010	0.000	0.000	0.000	0.000	0.000	1900.000	0.000	-63886.654	0.000	0.000	0.000
173.550	0.010	-0.166	-11.074	0.000	0.000	0.000	1900.000	0.000	61860.088	0.000	0.000	0.000
173.580	0.000	-0.166	11.074	0.000	0.000	0.000	1900.000	0.000	-65913.219	0.000	0.000	0.000
173.610	0.000	0.000	0.000	0.000	0.000	0.000	1900.000	0.000	69966.351	0.000	0.000	0.000
173.640	0.000	0.166	11.074	0.000	0.000	0.000	1900.000	0.000	-67939.785	0.000	0.000	0.000
173.670	0.010	0.000	-22.148	0.000	0.000	200.000	1900.000	2400.000	150873.941	0.000	0.000	0.000
173.700	0.000	-0.166	11.074	0.000	0.000	200.000	1969.883	2260.235	48039.574	0.000	0.000	0.000
173.730	0.000	0.166	11.074	0.000	0.000	200.000	2035.695	2128.609	55525.686	0.000	0.000	0.000
173.760	0.010	0.000	-22.148	0.000	0.000	200.000	2097.676	2004.649	-102845.441	0.000	0.000	0.000
173.790	0.000	0.000	22.148	0.000	0.000	200.000	2156.047	1887.907	73543.294	0.000	0.000	0.000
173.820	0.010	0.000	-22.148	0.000	0.000	200.000	2211.018	1777.964	71682.841	0.000	0.000	0.000
173.850	0.000	0.000	22.148	0.000	0.000	200.000	2262.788	1674.423	-201216.934	0.000	0.000	0.000
173.880	0.010	0.000	-22.148	0.000	0.000	200.000	2311.544	1576.912	141250.523	0.000	0.000	0.000
173.910	0.000	-0.166	11.074	0.000	0.000	200.000	2357.460	1485.080	-52856.820	0.000	0.000	0.000
173.940	0.000	0.000	0.000	0.000	0.000	200.000	2400.702	1398.596	27386.322	0.000	0.000	0.000
173.970	0.000	0.000	0.000	0.000	0.000	200.000	2441.426	1317.148	-17862.571	0.000	0.000	0.000
174.000	0.000	0.000	0.000	0.000	0.000	200.000	2479.778	1240.443	-24927.866	0.000	0.000	0.000
174.030	0.000	0.166	11.074	0.000	0.000	200.000	2515.897	1168.205	-135635.939	0.000	0.000	0.000
174.060	0.010	0.000	-22.148	0.000	0.000	200.000	2549.913	1100.174	120475.456	0.000	0.000	0.000
174.090	0.000	0.000	22.148	0.000	0.000	200.000	2581.947	1036.105	-10066.384	0.000	0.000	0.000
174.120	0.010	0.000	-22.148	0.000	0.000	200.000	2612.116	975.767	-12281.210	0.000	0.000	0.000
174.150	0.000	-0.166	11.074	0.000	0.000	200.000	2640.529	918.943	4628.986	0.000	0.000	0.000
174.180	0.000	0.000	0.000	0.000	0.000	200.000	2667.286	865.428	-24927.866	0.000	0.000	0.000
174.210	0.000	0.166	11.074	0.000	0.000	200.000	2692.485	815.029	13045.325	0.000	0.000	0.000
174.240	0.010	0.000	-22.148	0.000	0.000	200.000	2716.217	767.566	91106.864	0.000	0.000	0.000
174.270	0.000	-0.166	11.074	0.000	0.000	200.000	2738.567	722.866	-102823.293	0.000	0.000	0.000
174.300	0.000	0.000	0.000	0.000	0.000	200.000	2759.615	680.770	-9191.528	0.000	0.000	0.000
